	ProxStylo_M7_3mo	ProxStylo_M8_3mo	ProxStylo_M9_3mo	DistStylo_M7_3mo	DistStylo_M8_3mo	DistStylo_M9_3mo	Elbow_M7_3mo	Elbow_M8_3mo	Elbow_M9_3mo	ProxZeugo_M7_3mo	ProxZeugo_M8_3mo	ProxZeugo_M9_3mo	DistZeugo_M7_3mo	DistZeugo_M8_3mo	DistZeugo_M9_3mo	Auto_M7_3mo	Auto_M8_3mo	Auto_M9_3mo	Digit1_M7_3mo	Digit1_M8_3mo	Digit1_M9_3mo	Digit2_M7_3mo	Digit2_M8_3mo	Digit2_M9_3mo	Digit3_M7_3mo	Digit3_M8_3mo	Digit3_M9_3mo	Digit4_M7_3mo	Digit4_M8_3mo	Digit4_M9_3mo	Digit5_M7_3mo	Digit5_M8_3mo	Digit5_M9_3mo 
Gamt	14.64	4.6	24.57	19.41	25.25	21.97	5.69	3.54	1.93	7.76	22.46	9.47	15.41	24.86	19.7	12.2	12.81	10.59	16.66	7.34	7.22	3.85	10.6	11.8	15.49	2.35	5.62	22.23	4.6	10.79	5.9	2.86	2.84
Mcm4	137.85	169.35	135.11	122.9	110.26	121.06	176.47	205.14	77.32	66.89	88.23	45.45	91.72	120.99	92.27	74.84	135.25	148.36	131.76	155.65	129.98	164.63	188.44	198.65	123.11	131.72	111.39	125.95	127.62	109.88	256.6	185.79	142.78
Fstl4	0	0	0	0	1.68	0	0.95	1.77	0	0	1.6	0	0.73	0	0	0	0	5.3	0.76	0	0.9	0	0	0	0	0	2.81	0	4.6	0	0	0	0
Itln1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C330021F23Rik	4.18	0	0	0	0	0	0	0	1.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99	0	0	0	0	0	0	0
Il6	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930523C07Rik	42.89	62.58	38.9	46.2	34.51	46.94	54.08	61.04	39.63	52.35	60.96	35.98	56.5	77.9	102.64	57.76	74.74	93.58	85.43	49.92	46.94	81.55	121.3	73.78	72.07	85.85	82.37	87.98	77.03	90.25	126.83	75.27	84.16
Cdc37l1	376.58	408.47	444.24	473.12	520.98	471.91	422.2	351.85	441.71	401.36	580.72	638.12	333.95	404.4	183.51	315.04	294.69	362.83	315.02	264.31	265.39	251.56	257.93	314.7	269.45	285.78	292.99	262.08	272.48	284.49	396.72	269.63	281.78
Tmem62	17.78	17.49	25.59	14.78	12.62	25.97	17.08	28.31	42.56	27.14	14.44	18.94	20.55	36.46	42.51	24.41	45.56	47.67	19.69	65.34	27.98	15.39	31.8	21.64	25.55	21.17	19.66	39.82	28.74	40.22	36.87	40.97	39.71
Pappa2	12.56	22.09	26.53	37.89	19.43	35.96	22.83	39.81	58.96	21.33	36.9	24.62	15.58	29.83	18.66	29.29	22.07	32.66	21.21	16.16	7.28	19.23	3.53	11.8	21.18	22.34	19.66	23.15	14.95	10.8	17.7	6.67	18.91
Bpifa6	4.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgfbr2	521.98	520.93	499.51	534.11	562.22	465.08	621.58	614.8	520	606.88	489.28	422.26	665.46	348.05	300.67	676.86	390.09	444.05	602.78	338.46	422.45	556.98	584.17	534.93	418.78	655.05	631.85	551.02	567.96	396.33	578.23	459.23	479.4
Kif18a	18.83	28.53	12.28	14.78	15.15	15.98	22.77	29.19	13.53	11.63	6.42	9.47	8.07	16.57	23.85	21.15	19.22	9.71	13.63	32.3	31.59	24.62	14.13	10.82	18.58	4.7	24.34	22.23	33.34	17.66	16.22	33.35	26.48
Apom	0	0	0	0	0	0	0	1.77	0	0	1.6	0	0	0	3.11	0	0	0	0	8.08	0	0	0	0	0	0	0	0	0	0	0	0	0
4933427D06Rik	5.29	0	1.33	0	0.31	0	0.93	2.48	0	1.41	0	0	3.36	1.64	0	2.17	0	2.65	1.33	0.27	0	3.95	0	0	2.32	1.18	0	5.42	6.08	0	0	0	0.27
Tenc1	163.18	132.53	176.06	130.29	159.91	150.81	146.11	112.34	120.82	164.81	94.65	151.48	146.02	44.75	146.19	175.72	135.25	127.12	139.34	105.72	80.34	175.4	110.71	133.75	135.5	108.2	97.35	163.92	97.73	96.14	125.35	100.04	82.26
Ceacam9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc5	283.48	320.24	299.87	362.23	335.82	272.66	266.54	316.69	336.35	325.74	409.12	352.5	339.73	303.82	274.75	307.31	322.79	344.33	248.38	486.76	415.23	231.56	349.8	285.19	321.33	390.57	322.01	276.9	389.73	349.24	269.88	319.17	312.98
Patl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0
Ube2d1	176.78	221.81	284.56	343.83	403.99	326.6	180.26	240.61	266.76	257.28	470.03	473.39	131.34	281.76	100.57	177.35	125.28	127.12	99.2	66.81	65.9	70.78	73.02	87.52	65.04	52.92	61.78	78.72	45.99	74.56	97.33	58.12	66.19
Ccl9	103.56	108.59	94.17	93.51	90.54	84.15	86.97	85.76	54.06	90.9	43.49	40.64	88.29	64.06	44.85	111.25	91.87	74.67	123.1	48.74	52.58	69.64	94.8	66.41	52.09	103.2	144.93	81.68	123.97	53.59	78.35	50.29	53.76
Emc4	50.21	48.78	58.34	53.03	32.82	28.46	32.36	34.5	49.29	42.66	52.94	64.38	44.03	36.46	60.13	29.29	27.06	53.85	46.19	43.32	60.48	43.08	65.95	56.06	56.52	54.1	30.89	49.08	45.99	34.34	57.51	59.55	69.97
Dctn4	178.87	122.41	142.28	120.13	144.76	124.85	125.24	178.69	113.08	169.66	170.05	183.67	146.02	198.89	167.96	131.79	158.02	160.67	173.41	190.89	179.63	133.86	186.1	169.15	140.92	176.41	155.39	146.32	200.05	205.03	193.19	141.01	183.44
Dscr3	61.72	65.35	60.39	46.2	42.99	39.95	48.39	41.58	43.49	51.38	65.77	26.51	52.1	36.46	34.21	44.74	39.16	62.68	46.19	40.98	61.38	55.39	74.2	86.54	43.36	52.92	26.21	60.2	43.69	60.82	78.16	38.11	37.83
Cd276	19.87	30.37	20.47	16.63	23.57	19.98	29.41	21.23	25.13	35.87	11.23	13.25	38.16	21.55	12.44	54.51	32.74	21.19	51.49	32.3	22.57	59.24	28.27	12.78	19.36	47.04	32.76	20.37	57.49	21.58	32.44	55.26	22.69
Olfr566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prmt1	140.17	159.22	163.78	190.36	231.53	182.99	162.24	143.31	139.18	192.92	237.42	185.57	148.95	200.54	262.31	182.94	135.25	156.26	174.93	183.55	148.94	173.12	159	244.87	184.28	134.07	158.2	164.84	121.87	180.51	165.17	126.72	167.36
Olfr401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxi3	0	0	0	0	0	0	0	0	0	0	4.81	0	0	0	4.15	0	0	2.65	3.03	2.94	0	0	1.18	0	0	1.18	0	0	0	0	4.42	0	0
Tas2r118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hibch	269.88	250.34	159.73	147.85	178.43	151.68	125.24	84.92	81.19	138.63	121.92	130.65	65.3	77.9	92.27	77.29	55.52	40.61	37.11	51.39	49.65	75.39	62.42	56.06	66.59	55.27	47.74	63.9	52.89	45.64	73.74	52.4	35.93
Cxcl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	1.55	0	0	0	4.6	0	0	0	0
Ccnl1	66.95	76.39	92.57	109.96	88.18	82.9	127.11	102.97	116.95	119.93	99.46	102.25	122.54	142.54	143.08	120.38	155.89	156.26	119.66	88.84	121.06	169.74	173.13	148.5	152.54	156.41	163.78	112.06	196.6	196.2	197.61	140.22	200.49
Scn7a	126.57	124.25	78.82	156.17	161.6	154.81	124.29	99.96	118.88	156.08	134.75	89	111.53	96.87	71.54	136.68	64.78	65.33	76.48	72.68	58.67	84.62	74.2	39.34	92.92	61.15	56.16	94.46	44.84	27.47	63.41	35.25	35.93
Spink12	0	0	0	0	0.84	1	0.95	0	0	2.91	0	0	1.47	9.94	6.22	4.07	17.08	16.77	184.02	427.24	400.79	146.17	101.29	149.48	173.44	102.32	145.09	75.01	57.49	120.63	181.39	213.42	161.69
Exoc6b	64.86	87.43	68.58	106.27	96.79	109.86	83.49	85.81	95.69	95.98	97.86	83.32	101.99	107.73	143.08	84.61	137.38	156.26	137.82	241.55	204	153.43	215.53	155.38	193.57	204.63	136.67	158.36	156.36	130.47	128.3	167.69	156.96
Trappc10	311.72	266.91	280.47	295.7	292.89	294.64	308.35	297.23	248.4	243.33	332.07	337.05	290.57	286.73	243.65	292.88	323.17	293.97	303.66	318.93	360.17	272.33	274.42	314.7	332.17	323.41	210.62	306.53	388.6	337.47	271.35	327.75	337.57
Wdr16	0	0	0	0	0	0	1.9	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0
Siva1	19.87	24.85	19.45	26.8	36.19	39.95	20.87	39.81	46.39	26.18	24.06	66.27	24.95	16.57	35.25	35.8	50.54	46.79	37.11	22.76	28.89	37.7	43.58	26.55	28.65	25.87	28.08	32.41	27.59	18.64	39.82	52.4	36.88
Bik	3.14	3.68	2.05	1.85	7.57	2	2.85	1.77	3.87	4.85	3.21	1.89	0	1.66	3.11	4.07	0	2.65	6.82	0.73	2.71	0.77	9.42	0.98	0	2.35	0	2.78	3.45	0	0	0	6.62
Snx12	100.46	96.01	122.13	126.41	132.15	130.29	132.62	115.71	142.2	149.87	157.39	155.29	150.15	111.56	40.96	153.55	138.02	133.92	108.69	155.49	111.41	87.34	122.13	132.35	121.43	93.06	102.7	126.22	131.25	105	132.98	144.89	143.42
Mrps17	26.15	44.24	36.85	38.81	33.67	37.95	42.69	37.15	33.83	37.81	51.33	58.7	38.16	33.15	25.92	30.1	36.3	44.14	31.05	23.49	27.98	29.23	36.51	33.44	27.1	35.28	65.18	35.19	33.34	43.16	70.79	44.78	60.52
Zbtb46	16.74	15	17.4	29.57	19.36	14.98	14.23	14.15	11.6	7.76	11.23	3.79	9.54	11.6	8.29	9.76	0	0.88	12.12	4.41	0.9	4.62	10.6	0	3.87	8.23	11.23	11.11	0	7.85	17.7	8.57	0.95
Rhbdf1	94.14	106.76	117.71	95.18	84.16	91.89	83.49	80.5	125.65	137.66	97.86	149.59	130.61	131.33	174.18	148.06	148.77	131.56	162.05	151.24	157.07	165.4	207.29	165.22	169.57	119.96	166.62	127.8	156.36	200.13	165.14	149.58	144.6
Krba1	51.26	49.7	71.65	55.44	74.07	85.89	58.82	45.11	52.19	63.98	77	54.91	59.02	39.78	21.77	46.37	31.32	45.05	28.02	49.09	55.06	34.62	44.76	50.15	77.43	31.75	44	33.34	51.74	33.35	36.87	20.96	32.15
Mtmr4	138.08	128.85	105.43	103.79	122.82	105.87	105.31	109.61	131.45	102.76	126.73	85.21	132.08	188.94	109.9	104.95	140.23	132.42	105.26	203.42	144.43	126.94	154.29	136.7	144	147	135.73	163.92	136.82	163.83	150.42	130.08	104.96
Olfr1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp11a	197.7	187.75	229.29	317.88	297.94	253.69	245.73	253.88	262.9	309.26	279.13	208.29	273.33	246.65	195.95	301.01	242.73	239.24	291.55	381.04	329.5	351.59	348.62	271.43	308.94	342.23	352.9	250.04	259.83	248.19	224.16	351.57	272.32
Gm20878	21.97	33.4	26.32	34.94	20.57	31.45	14.06	20.35	23.13	34.43	14.95	28.4	31.55	19.89	36.29	17.78	22.48	27.29	33.32	29.14	31.97	10	16.49	8.85	16.26	23.11	12.17	27.41	18.4	13.73	33.59	10.48	24.72
Actg2	20.92	16.57	13.31	28.37	13.46	6.99	21.82	12.38	26.93	25.34	19.25	3.79	13.94	0	7.26	6.51	9.97	4.41	3.03	3.67	0.9	10.77	8.24	1.97	6.19	7.04	2.81	7.41	2.3	0	8.85	0.95	1.18
Atxn2l	324.81	290.83	316.21	312.33	325.36	265.67	326.06	294.57	289.96	296.66	171.65	202.61	346.34	281.76	310	272.53	334.56	327.52	322.59	375.9	306.91	363.11	328.6	331.41	382.5	328.16	370.68	374.14	329.97	390.44	476.34	278.21	361.96
Kpnb1	862.99	814.05	780.03	760.5	859.32	852.55	894.98	900.13	841.85	694.13	850.23	693.04	755.87	870.13	879.2	811.8	1004.49	894.95	890.3	909.55	966.84	813.92	937.56	870.75	820.41	814.87	1054.95	986.31	873.78	942.75	793.36	962.85	1105.42
Cpn2	5.23	3.68	3.07	0	3.37	0	0	0.88	0	0	0	0	0	0	0	0.81	2.85	0	0	2.2	3.61	0	0	5.9	0	1.16	0	0	5.75	0	0	7.6	0
Agpat3	352.52	292.68	247.4	254.12	233.37	181.78	193.55	194.61	189.44	254	239.03	231.01	153.38	117.67	165.89	176.53	164.43	183.62	156.75	159.32	179.63	123.09	166.07	158.33	188.93	115.25	209.68	138.91	137.97	192.28	129.78	178.17	143.73
Wnt2	5.23	17.49	7.17	2.77	5.89	7.99	18.98	6.19	2.9	15.51	3.21	0	6.6	0	0	10.58	2.85	0	14.39	5.14	0.9	16.16	18.84	4.92	13.16	11.76	14.04	7.41	10.35	6.87	4.42	18.1	8.51
Gpr3	0	0	0	0	0.84	0	0	0	0.97	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	2.86	0
Psapl1	91.52	51.54	94.17	120.13	61.44	107.87	95.82	255.64	243.09	223.95	171.65	145.8	265.62	278.47	244.68	120.4	204.29	269.25	155.22	640.96	475.45	200.73	505.26	285.19	708.61	618.32	379.11	256.44	692.13	466.96	230.06	482.1	402.81
Efhc2	0	1.84	3.07	0	0.84	4.99	0	0	0	1.94	0	3.79	0	0	0	6.51	0	0	2.27	0	0	4.52	3.53	0	0	0	0	2.78	0	2.94	5.9	0	8.51
Atg13	101.47	83.75	85.98	102.13	82.48	95.88	71.05	72.54	91.82	118.27	62.56	147.7	88.05	97.79	95.39	108.2	91.11	75.04	115.1	122.61	128.18	81.55	75.38	123.91	106.85	142.3	117.01	115.76	166.71	122.63	109.13	121.95	136.16
BC016423	77.41	72.71	44.01	50.82	67.33	62.92	65.46	55.73	40.59	48.47	65.77	79.53	44.03	79.55	58.06	67.52	68.33	59.15	72.7	59.47	71.31	56.93	44.76	22.62	71.24	42.34	58.97	87.98	41.39	76.52	77.73	54.31	44.44
Rsph4a	1.08	0	3.07	0	3.72	5.99	1.9	0.79	0.97	2.92	0	0	2.21	0	0	0	0.74	0	0	1.47	0	3.85	0	0	3.1	0	0.94	0	0	0	5.9	5.72	0
Tcerg1	215.49	197.88	199.6	200.52	232.09	197.76	218.21	269.8	236.8	190.98	271.11	219.65	253.88	240.32	229.13	258.7	231.34	251.53	299.88	235.67	298.78	263.1	261.46	308.8	336.82	232.85	219.98	294.5	239.14	270.76	283.15	243.91	260.98
Man1c1	116.11	64.43	63.46	57.31	75.93	47.95	81.6	90.73	25.14	67.86	43.31	68.15	74.11	66.3	39.4	80.56	97.57	63.56	62.71	60.22	40.49	96.44	71.84	65.89	61.17	71.75	58.04	82.42	87.49	55.82	81.11	68.6	57.68
Olfr521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ercc3	60.67	49.7	53.12	67.46	62.28	35.96	58.82	51.31	48.33	55.26	57.75	22.72	66.04	61.32	77.76	80.54	93.25	60.03	61.34	95.44	64.99	74.62	89.51	73.76	94.46	64.68	75.82	91.68	58.64	87.31	82.58	62.88	69.92
Tmem38b	312.77	290.9	362.34	434.13	403.1	324.41	274.19	257.41	262.9	276.3	529.39	444.98	173.9	215.46	155.52	273.35	98.23	140.36	127.22	78.56	113.74	96.16	128.38	82.61	91.37	157.73	71.14	112.88	124.17	122.73	103.23	108.62	78.48
Bpifc	337.73	305.75	578.56	410.35	343.16	845.36	498.28	816.71	1770.15	822.4	1057.15	712.96	884.91	768.13	885.91	908.78	1467.04	1718.65	918.27	1963.92	1908.26	1094.32	1712.48	1590.89	2522.54	1646.94	1556.41	1268.08	2064.24	1968.64	1386.54	1655.45	2117.55
Vmn2r41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77	0	0	0	0	0	0	0	0
Ptx4	2.09	11.04	4.09	12.01	6.73	6.99	9.49	2.65	1.93	5.82	3.21	5.68	5.14	0	0	0	0	4.41	2.27	0	0	0	0	0	0	0	0	0	2.3	0	0	3.81	1.89
Slc12a7	56.49	95.72	38.9	69.3	69.86	34.96	55.03	29.19	48.33	59.14	44.92	41.66	74.84	33.15	66.35	61.01	40.44	45.91	68.15	80.03	96.59	83.08	85.98	118.01	124.66	77.62	121.69	104.65	112.67	88.29	100.28	130.53	94.56
Cdk14	46.03	67.19	77.79	62.84	74.07	83.9	84.44	90.23	69.59	82.4	40.11	60.59	90.25	59.67	46.66	84.61	65.49	52.09	71.18	67.54	50.55	41.54	41.22	33.44	55.75	44.69	55.23	78.72	41.39	29.43	48.67	43.83	36.88
Ces2b	123.52	143.67	150.73	116.76	135.54	125.36	113.21	139.58	163.27	144.09	144.19	219.76	123.79	210.92	243.19	121.26	175.35	179.46	131.76	139.45	120.72	127.4	151.65	171.24	171.76	140.76	169.42	153.5	152.93	163.43	197.53	140.06	166.62
Olfr1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acap3	46.03	46.02	49.12	35.11	39.56	37.95	61.67	51.31	40.59	42.66	62.56	35.98	48.43	44.75	73.61	80.54	72.61	93.51	103.75	188.68	139.01	79.24	138.98	121.9	125.44	145.83	136.67	75.94	182.8	169.71	110.6	157.21	116.3
Nlgn2	51.26	48.78	64.49	38.81	52.2	50.94	54.08	66.35	69.59	76.59	35.29	79.53	80.71	51.38	120.27	100.89	118.16	109.47	93.14	76.35	83.95	100.79	80.05	130.8	91.37	63.51	52.42	92.61	57.49	72.61	82.58	44.79	49.17
Orc4	93.1	98.48	97.24	85.94	87.39	101.87	79.7	113.23	91.82	76.59	119.14	96.57	79.98	135.96	151.37	104.13	113.89	105.05	84.81	103.52	95.76	73.08	89.51	101.29	131.51	138.77	99.22	94.46	116.12	116.74	159.27	174.36	133.32
Ncoa4	455.03	441.73	329.6	335.28	332.81	320.25	426.87	333.22	191.93	259.87	214.96	202.63	229	202.25	162.78	181.86	180.11	149.18	174.69	202.71	155.81	178.79	162.37	208.49	164.96	169.35	221	174.99	163.55	176.77	168.21	157.21	211.83
Pla2g5	0	15.65	3.07	3.16	8.42	1	3.8	8.85	0.97	2.91	3.21	0	14.68	9.94	13.48	22.78	12.1	9.71	2.27	1.47	6.32	10.77	16.49	0.98	18.58	5.88	4.68	7.41	5.75	6.87	7.37	1.91	3.78
Syk	189.34	237.66	206.85	224.05	180.31	168.79	266.6	254.77	75.39	95.01	51.33	87.1	133.59	64.64	127.53	99.25	111.76	107.7	77.24	64.61	55.06	70.01	116.6	58.02	73.56	94.46	150.68	61.12	82.78	70.63	69.31	50.5	43.5
Btbd17	0	1.84	0	0.92	0	3	0	0	3.87	0	0	0	0.73	0	0	0	4.98	0	0	0	0	0	0	0	0	3.53	0	0	0	0	0	0	0
Trappc2	41.17	44.8	60.38	52.02	30.21	45.6	35.86	63.27	45.43	38.21	52.47	49.23	35.48	46.41	30.07	21.33	28.63	28.69	26.5	31.06	39.72	28.72	25.91	31.76	36.39	26.23	32.76	34.15	28.21	33.35	42.38	32.39	47.28
Aldh18a1	112.97	80.99	53.23	44.35	41.24	54.93	63.57	84.92	38.66	45.56	20.85	9.47	71.91	39.78	64.28	48	65.49	68.86	86.34	93.98	65.9	76.93	107.18	73.76	89.04	68.21	96.42	92.61	80.48	87.31	75.21	85.75	89.83
Plekhh3	24.06	19.33	27.64	24.95	41.94	27.97	18.03	28.31	34.8	36.84	24.06	45.45	40.37	38.12	48.73	34.98	39.15	41.49	49.22	61.67	78.53	42.31	31.8	55.07	51.88	47.04	47.74	23.15	57.49	89.27	64.89	54.27	75.64
11-Mar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd6	27.2	24.85	23.54	24.95	21.88	20.97	26.57	13.27	27.06	33.93	32.08	35.98	19.08	16.57	15.55	36.61	17.08	9.71	15.15	23.49	12.64	16.16	17.67	25.57	6.97	18.82	5.62	13.89	6.9	9.81	26.55	16.2	20.8
Tdpoz4	0	0	0	0	0	0	0	0	1.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loxl2	204.43	190.36	177.76	213.91	164.85	173.52	233.29	147.95	194.41	208.46	96.09	105.05	284.26	54.91	208.92	328.47	152.25	138.56	274.96	90.44	104.99	251.56	112.95	137.77	150.62	189.84	207.59	200.42	78.33	126.32	229.67	140.81	136.09
Tgm3	1.05	12.33	18.26	9.21	10.03	61.93	7.63	9.82	103.42	37.28	24.87	11.27	205.15	238.75	505.44	296.58	1030.72	1147.38	789.11	2659.1	1738.26	1180.33	2302.45	1344.34	1737.73	2124.12	1607.23	934.42	2285.69	1901.19	1294.58	2291.34	1792.81
BC051019	0	0	0	0	0	0	0	1.77	0	0.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdh19	41.84	32.21	45.04	32.34	34.51	26.97	29.41	31.85	46.39	31.02	43.31	49.23	54.3	69.61	25.92	42.3	56.23	37.08	31.81	24.23	20.76	43.85	21.2	16.72	40.26	34.11	35.57	56.49	27.59	12.75	38.34	10.48	10.4
Rogdi	18.83	17.49	13.31	14.78	21.04	25.97	23.72	15.04	17.4	17.45	14.44	11.36	16.88	24.86	19.7	13.02	12.52	3.53	18.17	8.08	10.83	14.46	15.31	22.62	9.95	28.22	10.3	4.63	6.9	16.68	14.75	26.68	9.46
4-Mar	3.15	6.11	1.03	0	3.5	3.55	2.23	0.41	0.76	3.03	4.59	5.68	0.59	0	0	0	0	1.75	1.54	0.13	0	0	0	0	0	0	0	3.27	0	2.03	0	3.32	0
Olfr381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc63	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem147	54.39	49.7	70.63	59.14	53.87	45.94	43.64	33.61	38.66	72.71	59.36	75.74	44.03	36.46	45.62	39.05	29.18	36.19	27.26	29.37	37.91	23.08	45.93	34.42	40.26	32.93	63.65	25.93	55.19	55.92	28.02	25.72	38.77
Stac	2.09	2.76	8.19	5.54	4.21	2	5.69	2.65	4.83	0.97	0	0	4.4	8.29	10.37	13.02	9.25	2.65	1.51	0	2.71	3.85	3.53	0	3.1	3.53	0	2.78	6.9	0	5.9	1.91	10.4
H2afb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esyt3	26.15	35.89	50.16	40.4	21.88	44.94	37.95	52.19	90.85	95.98	78.61	83.32	91.72	117.54	118.19	42.3	77.59	73.4	43.92	88.84	82.14	66.93	74.2	73.76	92.14	95.07	80.5	45.38	71.28	66.14	88.48	100.99	80.37
Slc35d2	26.95	31.59	27.86	14.59	31.56	16.52	24.32	30.23	17.43	45.29	24.9	20.89	34.75	20.37	28.62	35.98	37.84	33.55	36.15	22.26	34.88	40.18	69.71	34.86	35.98	42.45	57.53	40.49	45.31	50.4	39.8	32.02	36.64
Nkx6-3	0	2.76	1.02	0	2.52	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parp14	128.66	161.07	100.31	167.29	215.45	127.84	126.19	122.08	86.99	124.09	110.69	123.08	101.99	77.9	64.28	56.95	112.47	76.1	59.07	39.65	64.09	63.08	83.62	36.39	48.78	63.51	74.89	70.39	75.88	26.57	48.67	65.74	51.06
Rdh12	18.83	14.73	19.45	19.41	17.67	31.96	17.08	50.42	38.66	61.08	83.42	47.34	60.91	97.79	32.14	53.69	87.55	81.22	55.28	151.98	107.51	52.31	116.6	85.62	154.08	98.79	101.1	90.76	137.97	140.28	66.36	126.72	98.34
Syna	1.05	1.84	1.02	0	0	1	2.85	2.65	0	1.94	0	0	1.47	0	3.11	0	0	0	0	0	2.71	0	0	0	0	0	0	0.93	0	0	0	0	0.95
Sdpr	477	496.78	394.08	438.18	493.16	455.44	474.12	384.54	280.3	399.42	291.88	367.31	292.07	172.37	118.19	202.57	118.87	157.14	137.06	69.75	71.31	145.38	85.98	76.72	165.63	109.37	99.22	209.3	90.85	93.2	137.15	85.75	71.86
Kctd3	178.87	213.52	182.2	164.48	237.34	231.7	184.06	189.31	227.12	206.5	222.98	204.5	217.19	222.09	311.04	248.16	280.46	250.72	246.11	276.06	308.71	256.18	215.53	259.62	243.13	236.38	266.78	250.97	264.43	235.44	284.62	308.69	275.23
2810408A11Rik	1.05	1.84	0	4.62	1.68	3	4.74	0	2.9	4.85	0	3.79	10.27	4.97	19.7	2.44	2.85	14.12	9.84	4.41	6.32	13.08	9.42	4.92	4.65	3.53	11.23	8.33	8.05	7.85	1.47	2.86	14.18
Olfr1419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep250	139.12	122.41	222.12	196.82	187.43	154.81	217.27	177.81	173.01	144.45	176.46	128.76	217.93	145.73	328.66	253.01	197.89	184.51	243.08	199.7	210.32	316.18	254.4	183.99	247.77	243.44	225.59	291.77	239.14	242.44	196.14	229.62	193.84
Fam131a	39.75	50.62	111.57	100.72	83.32	107.87	50.28	71.65	66.09	52.35	162.02	189.56	34.49	72.92	37.32	20.34	7.12	22.07	17.42	10.28	19.86	10	16.49	8.85	12.39	4.7	7.49	12.97	17.25	8.83	5.9	11.43	2.84
Hscb	24.06	26.69	20.47	16.85	21.88	14.98	11.39	18.58	12.56	11.63	32.08	15.15	13.94	19.89	6.22	6.51	9.25	7.95	18.93	11.75	18.96	21.54	5.89	4.92	21.68	16.46	12.17	17.63	11.5	6.87	11.8	15.24	17.97
Txnrd3	63.81	60.74	68.58	49.9	58.07	80.9	54.08	75.19	86.99	91.13	73.79	49.23	107.86	101.1	195.95	114.71	189.34	139.48	168.87	242.28	193.17	203.87	195.51	155.38	252.36	252.85	124.5	175.96	167.86	183.45	169.59	173.4	199.51
Vmn1r40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
